emp_no,last_name,first_name,birth_date,from_date,to_date,title
80850,Luit,Koldo,1965-02-01,1995-04-16,9999-01-01,Senior Engineer
80889,Linnainmaa,Shigeo,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
80948,Bardell,Harjit,1965-01-27,1991-05-24,9999-01-01,Senior Engineer
81105,Boissier,Jaewon,1965-01-14,1992-05-24,9999-01-01,Senior Engineer
81545,Kornyak,Larisa,1965-01-13,2000-02-07,9999-01-01,Technique Leader
81644,Ghandeharizadeh,Divine,1965-01-05,1997-11-28,9999-01-01,Staff
81995,Brender,Sreekrishna,1965-01-10,1990-03-22,9999-01-01,Senior Engineer
82069,Perfilyeva,Yechezkel,1965-01-20,1994-11-03,9999-01-01,Senior Engineer
82098,Wilharm,Poornachandra,1965-01-25,1991-04-20,9999-01-01,Senior Engineer
82351,Thambidurai,Stevo,1965-01-26,1989-10-27,9999-01-01,Senior Staff
82511,Koblick,Uwe,1965-01-27,1998-04-04,9999-01-01,Engineer
82919,Claffy,Shigeu,1965-01-05,1998-12-19,9999-01-01,Engineer
82928,Rikino,Alselm,1965-01-27,1990-11-16,9999-01-01,Engineer
83280,Ellozy,Francesca,1965-01-07,1999-08-08,9999-01-01,Senior Engineer
83289,Engelmann,Shigeichiro,1965-01-09,1994-01-09,9999-01-01,Engineer
83509,Collavizza,Breannda,1965-01-04,1989-10-12,9999-01-01,Engineer
83544,Baak,Leaf,1965-01-18,1994-09-05,9999-01-01,Senior Staff
83714,Kilgore,Ohad,1965-01-27,2000-10-10,9999-01-01,Engineer
83805,Harllee,Manohar,1965-01-23,1987-03-11,9999-01-01,Senior Engineer
83941,Hagimont,Zsolt,1965-01-11,1996-10-08,9999-01-01,Senior Staff
84029,Eugenio,Babette,1965-01-27,1997-09-21,9999-01-01,Staff
84179,Nanard,Shuichi,1965-01-25,1989-03-14,9999-01-01,Senior Engineer
84236,Barriga,Eberhardt,1965-01-18,1987-06-04,9999-01-01,Senior Staff
84315,Baumann,Kristina,1965-01-23,1996-09-26,9999-01-01,Assistant Engineer
84451,Aumann,Shiv,1965-01-20,1998-06-14,9999-01-01,Senior Engineer
84508,Vidya,Tommaso,1965-01-17,1998-05-02,9999-01-01,Engineer
84840,Neimat,Sverrir,1965-01-14,1996-11-03,9999-01-01,Staff
84922,Unno,Parke,1965-01-22,1996-07-01,9999-01-01,Engineer
84942,Fujisaki,Shin,1965-01-15,1988-02-23,9999-01-01,Technique Leader
85216,Rosiles,Ferdinand,1965-01-18,1997-07-08,9999-01-01,Senior Staff
85288,Luders,Younwoo,1965-01-06,1998-12-08,9999-01-01,Engineer
85414,Callaway,Chiradeep,1965-01-14,1999-07-30,9999-01-01,Staff
85445,Pollock,Yongdong,1965-01-09,1998-03-17,9999-01-01,Staff
85702,Merks,Udi,1965-01-04,1997-08-15,9999-01-01,Engineer
85874,Taubman,Pasqua,1965-01-30,1986-06-23,9999-01-01,Senior Staff
86213,Clemencon,Kristine,1965-01-28,1993-06-01,9999-01-01,Senior Staff
86354,Segond,Ronghao,1965-01-27,1993-09-13,9999-01-01,Senior Engineer
86422,Thummel,Jaewon,1965-02-01,1985-09-14,9999-01-01,Senior Staff
86546,Woycyznski,Oldrich,1965-01-09,1985-05-15,9999-01-01,Engineer
86655,Lorys,Zhenhua,1965-01-01,1995-08-21,9999-01-01,Engineer
86672,Anido,JoAnne,1965-01-15,1995-09-15,9999-01-01,Staff
87129,Neiman,Keung,1965-01-16,1997-04-13,9999-01-01,Staff
87353,Coombs,Quingbo,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
87714,Janetzko,Khun,1965-01-16,1989-09-13,9999-01-01,Assistant Engineer
87729,Roccetti,Yongmin,1965-01-24,1986-12-10,9999-01-01,Senior Staff
87783,Thorensen,Conor,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
88103,Bresenham,Goo,1965-01-09,1999-01-31,9999-01-01,Senior Staff
88411,Cannane,Lena,1965-01-31,2000-01-28,9999-01-01,Engineer
88422,Birsak,Jungsoon,1965-01-28,1985-04-03,9999-01-01,Technique Leader
88647,Ratnaker,Vasiliy,1965-01-10,1995-08-09,9999-01-01,Engineer
88958,Coombs,Vojin,1965-01-22,1995-07-23,9999-01-01,Staff
88965,Hedayat,Mang,1965-01-20,1995-05-22,9999-01-01,Engineer
89048,Birjandi,Otmar,1965-01-24,1985-03-23,9999-01-01,Engineer
89090,Theuretzbacher,Tetsushi,1965-01-26,1990-02-01,9999-01-01,Senior Staff
89161,Yetto,Conal,1965-01-07,1991-01-12,9999-01-01,Senior Staff
89207,Erol,Along,1965-01-15,1992-10-16,9999-01-01,Staff
89346,Comyn,Mansur,1965-01-13,1999-08-31,9999-01-01,Engineer
89590,Rothenberg,Guther,1965-01-27,1991-08-08,9999-01-01,Senior Staff
89664,Rossi,Pranjal,1965-01-20,1998-07-07,9999-01-01,Staff
89680,Mawatari,Aiman,1965-01-27,1988-05-01,9999-01-01,Senior Engineer
89806,Shinomoto,Xiadong,1965-01-27,1997-05-24,9999-01-01,Senior Engineer
89922,Ibel,Alexius,1965-01-26,1988-04-24,9999-01-01,Engineer
89941,Weedman,Arnould,1965-01-23,1989-07-28,9999-01-01,Senior Staff
90077,Guerreiro,Vivian,1965-01-24,1991-07-08,9999-01-01,Engineer
90084,Bale,Renny,1965-01-01,1989-11-22,9999-01-01,Engineer
90211,Denis,Bader,1965-01-15,1997-10-06,9999-01-01,Engineer
90292,Assaf,Koichi,1965-01-09,1990-05-26,9999-01-01,Senior Engineer
90518,Chepyzhov,Fumiko,1965-01-24,1988-01-28,9999-01-01,Senior Staff
90614,Trogemann,Yonghoan,1965-01-29,1988-09-23,9999-01-01,Engineer
90692,DasSarma,Rajmohan,1965-01-03,1985-09-14,9999-01-01,Senior Staff
91172,Melter,Kazuhisa,1965-01-19,1987-07-16,9999-01-01,Senior Staff
91182,Schwartzburd,Lucien,1965-01-04,1988-08-25,9999-01-01,Senior Engineer
91229,Hebden,Yahiko,1965-01-01,1996-10-03,9999-01-01,Engineer
91256,Milicic,Gunilla,1965-01-13,1998-01-09,9999-01-01,Staff
91333,Stafford,Lobel,1965-01-27,1998-11-29,9999-01-01,Staff
91415,Nilsson,Jamaludin,1965-01-04,1987-01-15,9999-01-01,Senior Staff
91648,Msuda,Dmitry,1965-01-29,1988-10-22,9999-01-01,Senior Staff
92438,Kilgore,Aria,1965-01-04,1992-04-11,9999-01-01,Engineer
92454,McFarlan,Visit,1965-01-24,1987-10-22,9999-01-01,Engineer
92577,Farrow,Zhanqiu,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
92598,Merro,Ranga,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
92685,Atchley,Mang,1965-01-26,1995-06-07,9999-01-01,Senior Staff
92841,Candan,Claude,1965-01-22,1993-08-04,9999-01-01,Senior Staff
92846,Kropatsch,Anyuan,1965-01-11,1986-09-05,9999-01-01,Senior Staff
92920,Hutter,Huei,1965-01-20,1993-01-28,9999-01-01,Engineer
93040,Kabayashi,Jaques,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
93220,Walston,Richara,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
93278,Penn,Magdalena,1965-02-01,1997-01-04,9999-01-01,Engineer
93549,Coullard,Arie,1965-02-01,2000-03-28,9999-01-01,Senior Staff
93600,Neimat,Kristina,1965-01-13,1988-04-18,9999-01-01,Technique Leader
94331,Cronau,Ramzi,1965-01-26,1999-09-03,9999-01-01,Technique Leader
94416,Cesareni,Aran,1965-01-01,2001-11-20,9999-01-01,Senior Staff
94761,Zaccaria,Hitofumi,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
94944,Matheson,Heping,1965-01-13,1988-06-24,9999-01-01,Engineer
95181,Cappelli,Yishai,1965-01-28,1997-01-30,9999-01-01,Staff
95286,Guerreiro,Kristin,1965-01-18,1989-08-23,9999-01-01,Senior Engineer
95314,Koblick,Rasiah,1965-01-22,1991-08-21,9999-01-01,Senior Staff
95406,Lyonns,Alair,1965-01-08,1997-07-12,9999-01-01,Engineer
95416,Ramaiah,Gianluca,1965-01-13,1993-11-29,9999-01-01,Engineer
95509,Loncour,Kristinn,1965-01-11,1995-02-08,9999-01-01,Engineer
95920,Hegner,Nobuyoshi,1965-01-19,1994-09-07,9999-01-01,Staff
96571,Garrabrants,Kokou,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
96579,Tasistro,Mohan,1965-01-18,1996-02-10,9999-01-01,Engineer
96767,Vecchio,Arumugam,1965-01-07,1985-08-14,9999-01-01,Engineer
97018,Chinen,Jeanna,1965-01-09,1989-01-01,9999-01-01,Senior Engineer
97623,Janetzko,Haldon,1965-01-25,1990-09-11,9999-01-01,Staff
97661,Hegner,Avishai,1965-01-31,1993-05-08,9999-01-01,Senior Staff
98288,Huttel,Sumali,1965-01-12,1989-09-12,9999-01-01,Senior Staff
98306,Kadhim,Ziya,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
98639,Assaf,Florina,1965-01-29,1996-05-18,9999-01-01,Staff
99057,Reeken,Shugo,1965-01-30,1999-06-21,9999-01-01,Staff
99373,Christianini,Xiaobin,1965-01-13,1985-12-25,9999-01-01,Senior Staff
99377,Francisci,Carrsten,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
99590,Anily,Dhritiman,1965-01-24,1998-12-16,9999-01-01,Staff
99654,Motley,Mahendra,1965-01-30,1985-09-28,9999-01-01,Senior Staff
100865,Peral,Hisao,1965-01-19,1990-10-03,9999-01-01,Senior Engineer
100916,Aamodt,Heejo,1965-01-18,1992-04-22,9999-01-01,Senior Engineer
101487,Sury,Abdelaziz,1965-01-14,1991-01-31,9999-01-01,Senior Staff
101647,Homond,Mori,1965-01-22,1994-05-10,9999-01-01,Senior Staff
101902,Millington,Mantis,1965-01-14,1991-03-18,9999-01-01,Staff
102620,Templeman,Adin,1965-01-03,1999-08-12,9999-01-01,Engineer
103196,Albarhamtoshy,Djenana,1965-01-16,1988-07-16,9999-01-01,Senior Staff
103310,Swen,Visit,1965-01-07,1995-10-02,9999-01-01,Senior Staff
103316,Peternell,Susanne,1965-01-03,1994-07-27,9999-01-01,Engineer
103342,Hellwagner,Beshir,1965-01-03,1998-02-03,9999-01-01,Engineer
103756,Halloran,Heping,1965-01-31,1992-04-08,9999-01-01,Engineer
104133,Zyda,Pranjal,1965-01-31,1991-07-03,9999-01-01,Staff
104845,Lodder,Werner,1965-01-29,1992-06-17,9999-01-01,Staff
104988,Litzler,Parviz,1965-01-07,1992-08-08,9999-01-01,Senior Engineer
105342,Reeker,Kwun,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105356,Matzov,Diederik,1965-01-29,1995-03-08,9999-01-01,Engineer
105432,Stafford,Mohamadou,1965-01-08,1995-09-12,9999-01-01,Senior Engineer
105520,Lienhardt,Haldun,1965-01-01,1987-01-29,9999-01-01,Senior Staff
105731,Cromarty,Sachem,1965-01-15,1990-08-20,9999-01-01,Engineer
106096,Schurmann,Naftali,1965-01-14,1992-12-02,9999-01-01,Engineer
106242,Thisen,Nevio,1965-02-01,1988-03-25,9999-01-01,Senior Staff
106695,Garrabrants,Lijie,1965-01-31,1988-10-26,9999-01-01,Senior Staff
106710,Anandan,Babette,1965-01-31,1986-11-22,9999-01-01,Staff
107486,Luiz,Siamak,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
107737,Chleq,Fabrizio,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
107792,Crooks,Shahab,1965-01-13,1992-03-18,9999-01-01,Senior Staff
107828,Walston,Ramya,1965-01-26,1989-02-03,9999-01-01,Staff
108091,Ghemri,Hisao,1965-01-09,1985-11-14,9999-01-01,Staff
108198,Samarati,Randi,1965-01-24,1992-10-20,9999-01-01,Senior Staff
108316,Stellhorn,Shai,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
108988,Baek,Oksana,1965-01-19,1989-07-20,9999-01-01,Senior Staff
109062,Kandlur,Jamaludin,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
109211,Delgrande,Gor,1965-01-11,2002-06-18,9999-01-01,Engineer
109252,Winter,Moty,1965-01-15,1991-04-28,9999-01-01,Technique Leader
109278,Schach,Bangqing,1965-01-21,1988-03-22,9999-01-01,Staff
109552,Etalle,Menkae,1965-01-31,1997-05-21,9999-01-01,Engineer
109598,Auyong,Stamatina,1965-02-01,1988-07-05,9999-01-01,Senior Staff
109620,Cannata,Mani,1965-01-02,1989-06-21,9999-01-01,Senior Staff
109703,Walston,Arco,1965-01-17,1999-08-16,9999-01-01,Engineer
109741,Fadgyas,Hatem,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
109953,Chorvat,Godehard,1965-01-26,1988-04-10,9999-01-01,Senior Staff
200267,Luff,Chuanti,1965-01-08,1994-09-21,9999-01-01,Senior Staff
200312,Fujisaki,Akemi,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
200363,Quaggetto,Kirk,1965-01-10,1987-06-30,9999-01-01,Engineer
200735,Denos,Dinah,1965-01-09,1992-09-21,9999-01-01,Staff
200789,Camurati,Susumu,1965-01-14,1991-12-15,9999-01-01,Senior Staff
201229,Khasidashvili,Alejandra,1965-01-03,1994-07-30,9999-01-01,Staff
201708,Perl,Anneli,1965-01-15,1992-09-08,9999-01-01,Staff
201709,Kakkad,Fan,1965-01-01,1988-02-25,9999-01-01,Staff
201739,Terekhov,Genta,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
201801,Genin,Waiman,1965-01-12,1988-10-30,9999-01-01,Engineer
201915,DeMori,Sudharsan,1965-01-02,1992-03-30,9999-01-01,Engineer
202291,Schmiedel,Ortrun,1965-01-16,1997-07-18,9999-01-01,Engineer
202403,Perko,Gully,1965-01-09,1999-07-07,9999-01-01,Engineer
202414,Murthy,Zvonko,1965-01-13,1992-01-07,9999-01-01,Senior Staff
202552,Saoudi,Morris,1965-01-05,1991-11-22,9999-01-01,Engineer
202826,Matzke,Kerhong,1965-01-19,1986-11-14,9999-01-01,Engineer
202882,Koshino,Isaac,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
202950,Pietrzykowski,Giordano,1965-01-17,1987-03-26,9999-01-01,Senior Staff
203474,Jonsson,Hugh,1965-01-03,1991-07-06,9999-01-01,Senior Staff
203495,Gips,Zongyan,1965-01-02,1997-05-31,9999-01-01,Technique Leader
203599,DiGiano,Ewing,1965-01-21,2000-02-01,9999-01-01,Technique Leader
203720,Thimonier,Sasan,1965-01-30,1996-08-21,9999-01-01,Senior Staff
203946,Marwedel,Yefim,1965-01-23,1993-03-30,9999-01-01,Staff
204117,Nooteboom,Jessie,1965-01-10,2000-12-13,9999-01-01,Staff
204133,Bergere,Susuma,1965-01-22,1996-02-25,9999-01-01,Senior Staff
204246,Worfolk,Arve,1965-01-09,1985-04-01,9999-01-01,Staff
204425,Huttel,Gretta,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
204470,Lichtner,Hein,1965-01-22,1998-05-02,9999-01-01,Senior Staff
204471,Maginnis,Franziska,1965-01-27,1986-02-17,9999-01-01,Engineer
204764,Mandelberg,Susanne,1965-01-22,1990-11-02,9999-01-01,Senior Engineer
205018,Awdeh,Yahiko,1965-01-26,1998-08-05,9999-01-01,Engineer
205085,Kornyak,Moni,1965-01-23,1991-09-26,9999-01-01,Technique Leader
205174,Spinelli,Leszek,1965-01-05,1998-12-10,9999-01-01,Staff
205500,Setiz,Mary,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
205627,Broder,Stabislas,1965-01-21,1996-07-16,9999-01-01,Senior Engineer
205660,Barreiro,Kien,1965-01-27,2000-10-24,9999-01-01,Staff
205699,Yetto,Youjian,1965-01-31,1994-12-07,9999-01-01,Staff
205789,Skafidas,Limsoon,1965-01-31,1999-08-10,9999-01-01,Senior Staff
205863,Kusalik,Aiichiro,1965-01-06,1990-10-04,9999-01-01,Senior Engineer
206748,Fabrizio,Yucai,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Pfau,Guadalupe,1965-01-12,1993-03-22,9999-01-01,Senior Staff
206966,Sichman,Tzu,1965-01-21,1987-11-17,9999-01-01,Engineer
207021,Akaboshi,Jacqueline,1965-01-20,1997-12-06,9999-01-01,Engineer
207068,Ariola,Zhiguo,1965-01-13,1994-09-07,9999-01-01,Senior Staff
207204,Schrooten,Kellie,1965-01-25,1991-01-17,9999-01-01,Engineer
207401,Barbanera,Shuji,1965-01-04,1987-08-10,9999-01-01,Staff
207551,Falck,Baziley,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
207779,Kamble,Chinya,1965-01-16,1992-05-31,9999-01-01,Senior Staff
207980,Vieth,Remko,1965-01-07,1990-11-22,9999-01-01,Staff
208147,Rothenberg,Manu,1965-01-09,1988-12-06,9999-01-01,Senior Engineer
208330,Flanders,Shen,1965-01-11,1989-07-03,9999-01-01,Staff
208639,Lukaszewicz,Larisa,1965-01-27,1996-10-30,9999-01-01,Staff
208653,Schade,Phillip,1965-01-23,1989-03-03,9999-01-01,Engineer
208784,Juneja,Pranjal,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
209101,Edelhoff,Xinyu,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
209443,Garnier,Krassimir,1965-01-19,1998-01-26,9999-01-01,Senior Staff
209565,Covnot,Dante,1965-01-09,1989-05-28,9999-01-01,Senior Staff
209712,Baak,Nimmagadda,1965-01-17,1987-10-30,9999-01-01,Assistant Engineer
210017,Lovengreen,Shalesh,1965-01-28,1990-09-29,9999-01-01,Staff
210292,Zeilberger,Lihong,1965-01-18,1996-04-28,9999-01-01,Staff
210449,Lagarias,Gino,1965-01-19,1997-06-22,9999-01-01,Engineer
210752,Stenning,Saniya,1965-01-25,1986-12-10,9999-01-01,Senior Staff
210786,Ranze,Werner,1965-01-31,1998-06-05,9999-01-01,Staff
211858,Ratnaker,Domenico,1965-01-08,1985-03-24,9999-01-01,Senior Engineer
211879,Ranze,Gao,1965-01-12,1994-11-24,9999-01-01,Engineer
211967,Bain,Anwar,1965-01-07,1989-01-22,9999-01-01,Engineer
212093,Henders,Leni,1965-01-11,1993-11-19,9999-01-01,Senior Staff
212154,Holburn,Sailaja,1965-01-17,1991-03-04,9999-01-01,Staff
212361,Stanfel,Claudi,1965-01-16,1996-01-07,9999-01-01,Senior Engineer
213016,Fontan,Yongmao,1965-01-22,1993-07-26,9999-01-01,Engineer
213140,Danecki,Tru,1965-01-10,1997-03-31,9999-01-01,Staff
213384,Narwekar,Pranas,1965-01-04,1985-09-26,9999-01-01,Engineer
213447,Perly,Armond,1965-02-01,1989-09-14,9999-01-01,Engineer
214215,Cardazo,Xiaoqiang,1965-01-25,1993-05-28,9999-01-01,Senior Staff
214391,Klassen,Rayond,1965-01-15,1993-09-11,9999-01-01,Senior Staff
214427,Molberg,Peer,1965-01-29,1996-11-17,9999-01-01,Engineer
214539,Kohling,Ingmar,1965-01-27,1995-04-25,9999-01-01,Engineer
214634,Vickson,Shirish,1965-01-12,1989-10-24,9999-01-01,Engineer
214789,Chepyzhov,Arfst,1965-01-28,1989-02-06,9999-01-01,Engineer
214866,Angel,Gopalakrishnan,1965-02-01,1997-07-05,9999-01-01,Senior Engineer
214995,Hoppenstand,Dinkar,1965-01-12,1994-05-04,9999-01-01,Engineer
215419,Kroha,Flemming,1965-01-16,1995-01-23,9999-01-01,Staff
215629,Manders,Munehiro,1965-01-15,1987-05-18,9999-01-01,Senior Staff
215746,Speer,Sven,1965-01-08,1999-07-08,9999-01-01,Staff
215843,Loncour,Pramod,1965-01-30,1987-03-31,9999-01-01,Staff
216054,Angiulli,Sahrah,1965-01-24,1986-07-31,9999-01-01,Senior Staff
216342,Cromarty,Aiichiro,1965-01-22,1995-06-10,9999-01-01,Engineer
216375,Gustavson,Byong,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
216502,Suermann,Xiaocheng,1965-01-26,1997-12-15,9999-01-01,Engineer
216573,Vidya,Ashish,1965-01-29,1989-06-16,9999-01-01,Engineer
216921,Lenart,Lena,1965-01-22,1990-12-25,9999-01-01,Staff
217026,Engberts,Otmar,1965-01-11,1993-08-16,9999-01-01,Staff
217080,Puoti,Masami,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
217272,Eldridge,Yuchang,1965-01-21,1986-08-01,9999-01-01,Staff
217286,Spelt,Yannik,1965-01-05,1992-09-22,9999-01-01,Technique Leader
217320,Denis,Abdelwaheb,1965-01-10,1993-09-10,9999-01-01,Engineer
217363,Marzano,Horward,1965-01-14,1996-04-11,9999-01-01,Staff
217387,Molenaar,Jianhao,1965-01-21,1987-10-22,9999-01-01,Engineer
217551,Lukaszewicz,Panayotis,1965-01-02,1989-06-06,9999-01-01,Senior Engineer
217800,Servieres,Shay,1965-02-01,1998-08-06,9999-01-01,Senior Staff
218022,Poupard,Mokhtar,1965-01-26,1992-02-02,9999-01-01,Technique Leader
218100,Garnham,Jiong,1965-01-24,1990-01-02,9999-01-01,Senior Staff
218831,DuBourdieux,Unal,1965-01-16,1996-03-13,9999-01-01,Engineer
219035,Bierman,Kristine,1965-01-18,1988-05-13,9999-01-01,Technique Leader
219047,Kusalik,Aemilian,1965-01-30,1987-05-27,9999-01-01,Engineer
219052,Acton,Marsal,1965-01-06,1995-08-02,9999-01-01,Staff
219417,Denna,Subhrajyoti,1965-01-29,1996-07-25,9999-01-01,Staff
219497,Zastre,Moie,1965-01-22,1991-10-11,9999-01-01,Technique Leader
219967,Reeken,Susanna,1965-01-16,1998-03-16,9999-01-01,Senior Staff
220029,Asser,Demos,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
220131,Slaats,Reinhard,1965-01-09,1994-06-08,9999-01-01,Engineer
220418,Laventhal,Poorav,1965-01-23,1997-08-16,9999-01-01,Staff
220528,Rabehasaina,Sibyl,1965-01-06,1998-02-23,9999-01-01,Senior Staff
220582,Zielinski,Poornachandra,1965-01-08,1996-02-13,9999-01-01,Staff
220611,Babb,Yuping,1965-01-23,1995-01-31,9999-01-01,Staff
220625,Deville,Shigenori,1965-01-25,1992-12-24,9999-01-01,Technique Leader
220699,Gyimothy,Nahid,1965-01-07,1995-08-18,9999-01-01,Staff
220799,Orlowska,Perla,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
221126,dAstous,Tesuya,1965-01-23,1988-11-29,9999-01-01,Engineer
221367,Farris,Saddek,1965-01-13,1990-11-06,9999-01-01,Senior Staff
221369,Pocchiola,Abdulah,1965-01-28,1996-08-28,9999-01-01,Engineer
221435,Marrevee,Djenana,1965-01-06,1994-02-06,9999-01-01,Engineer
221973,Kalefeld,Sangeeta,1965-01-17,1990-06-06,9999-01-01,Staff
222206,Uludag,Stein,1965-01-21,1988-01-30,9999-01-01,Senior Staff
222311,Billingsley,Miyeon,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
222319,Chvatal,Matt,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
222354,Schlumberger,Valdiodio,1965-01-15,1993-08-07,9999-01-01,Assistant Engineer
222616,Schapire,Badri,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
222770,Kushner,Kazuhiko,1965-01-22,1995-08-01,9999-01-01,Senior Engineer
222878,Zallocco,Annemarie,1965-01-10,1996-12-01,9999-01-01,Engineer
222926,Erol,Limsoon,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
222952,Suermann,Gopalakrishnan,1965-01-28,1991-04-30,9999-01-01,Engineer
222998,Awdeh,Leaf,1965-01-07,1992-10-02,9999-01-01,Staff
223593,Moehrke,Hidefumi,1965-01-20,1998-03-04,9999-01-01,Staff
223595,Dredge,Chiranjit,1965-02-01,1999-09-05,9999-01-01,Technique Leader
224135,Bressoud,Annemarie,1965-01-02,1998-06-23,9999-01-01,Engineer
224335,Chachaty,Perry,1965-01-29,1985-07-22,9999-01-01,Senior Engineer
224390,Shobatake,True,1965-01-24,1996-05-17,9999-01-01,Senior Staff
224934,Miake,George,1965-01-05,1988-01-02,9999-01-01,Staff
225438,Quaggetto,Remmert,1965-01-14,1992-04-28,9999-01-01,Senior Staff
225601,Genin,Masasuke,1965-01-13,1994-06-25,9999-01-01,Assistant Engineer
225788,Kieras,Ipke,1965-01-08,1995-12-18,9999-01-01,Engineer
225867,Remmele,Ramalingam,1965-01-26,1999-09-03,9999-01-01,Senior Engineer
225964,Cooman,Mooi,1965-01-19,1989-06-07,9999-01-01,Engineer
226216,Gini,Giordano,1965-01-28,1993-08-14,9999-01-01,Technique Leader
226227,Erva,Herbert,1965-01-07,1986-09-06,9999-01-01,Engineer
227354,Murtha,Gio,1965-01-12,1986-11-11,9999-01-01,Engineer
227476,Schnabel,Macha,1965-01-11,1988-05-11,9999-01-01,Engineer
227681,Rousseau,Mikhail,1965-01-30,1998-11-30,9999-01-01,Staff
227899,Luce,Garnik,1965-01-23,1998-09-15,9999-01-01,Staff
227901,Azuma,Francesca,1965-01-26,1996-06-08,9999-01-01,Senior Staff
228098,Kroll,IEEE,1965-01-18,1998-02-17,9999-01-01,Engineer
228248,Plump,Yuriy,1965-01-09,1988-09-08,9999-01-01,Staff
228554,Brendel,Bilhanan,1965-01-03,1990-12-23,9999-01-01,Senior Staff
228766,Smailagic,Nahla,1965-01-11,1993-02-12,9999-01-01,Engineer
229098,Yurek,Berry,1965-01-08,1995-08-16,9999-01-01,Senior Staff
229220,Lichtman,Fabrizio,1965-01-21,1987-02-09,9999-01-01,Senior Engineer
229248,Terekhov,Harjit,1965-01-27,1995-10-19,9999-01-01,Staff
229386,Tasistro,Pohua,1965-01-03,1994-11-04,9999-01-01,Technique Leader
229391,Henseler,Paloma,1965-01-15,1991-06-11,9999-01-01,Senior Engineer
229404,Kilgour,Gilbert,1965-01-11,1996-04-05,9999-01-01,Staff
229547,Schach,Moni,1965-01-03,1986-07-04,9999-01-01,Senior Staff
229727,Millington,Ewing,1965-01-23,1999-09-28,9999-01-01,Engineer
229981,Fordan,Jamaludin,1965-01-19,1992-02-06,9999-01-01,Engineer
230002,Backhouse,Tadahiro,1965-01-07,1991-10-02,9999-01-01,Engineer
230126,Radivojevic,Bezalel,1965-01-31,1988-07-02,9999-01-01,Senior Staff
230287,Alameldin,Renny,1965-01-14,1997-09-28,9999-01-01,Assistant Engineer
230354,Lorho,Yinghua,1965-01-31,1991-08-09,9999-01-01,Senior Staff
230498,Puppo,Kolar,1965-01-15,1990-04-25,9999-01-01,Senior Engineer
230579,Negoita,Shahar,1965-01-17,1994-03-19,9999-01-01,Senior Staff
230689,Crabtree,Dietrich,1965-01-14,1986-05-24,9999-01-01,Senior Staff
230865,Brattka,Takushi,1965-01-02,1999-06-03,9999-01-01,Staff
231069,Siksek,Trygve,1965-01-22,1995-11-09,9999-01-01,Staff
231459,Pramanik,Nectarios,1965-01-28,1999-11-18,9999-01-01,Assistant Engineer
231671,Pearson,Chandrasekaran,1965-01-07,1995-04-14,9999-01-01,Staff
231798,Alvarado,Goetz,1965-01-28,1988-12-25,9999-01-01,Senior Engineer
232178,Anandan,Etsuo,1965-01-29,1989-12-13,9999-01-01,Senior Staff
232209,Rouquie,Nitsan,1965-01-11,1988-08-01,9999-01-01,Senior Engineer
232697,Ramsak,Barry,1965-01-23,1990-09-07,9999-01-01,Engineer
232723,Bugrara,Tesuya,1965-01-14,1993-02-13,9999-01-01,Assistant Engineer
233114,Gargeya,Alselm,1965-01-20,1987-12-25,9999-01-01,Senior Engineer
233394,Lenart,Khalid,1965-01-06,1995-12-24,9999-01-01,Engineer
233397,Sundgren,Fay,1965-01-16,1990-07-07,9999-01-01,Senior Staff
233426,Usery,Etsuo,1965-01-12,1995-03-02,9999-01-01,Senior Engineer
233690,Riefers,Cedric,1965-01-17,1994-09-08,9999-01-01,Engineer
